50,8
2	5	8	9	3	5	1	8	
2	1	8	3	2	5	1	8	 
2	7	4	9	3	7	2	6	
2	5	8	4	3	4	0	8
3	2	9	9	4	5	1	8
4	9	8	7	3	2	1	5
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	8	9	3	5	1	8
2	1	8	3	2	5	1	8 
2	7	4	9	3	7	2	6
2	5	8	4	3	4	0	8
3	2	9	9	4	5	1	8
4	9	8	7	3	2	1	5
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	8	9	3	5	1	8
2	1	8	3	2	5	1	8 
2	7	4	9	3	7	2	6
2	5	8	4	3	4	0	8
3	2	9	9	4	5	1	8
4	9	8	7	3	2	1	5
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	8	9	3	5	1	8
2	1	8	3	2	5	1	8 
2	7	4	9	3	7	2	6
2	5	8	4	3	4	0	8
3	2	9	9	4	5	1	8
4	9	8	7	3	2	1	5
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	8	9	3	5	1	8
2	1	8	3	2	5	1	8 
2	7	4	9	3	7	2	6
2	5	8	4	3	4	0	8
3	2	9	9	4	5	1	8
4	9	8	7	3	2	1	5
2	5	1	9	1	5	2	8
2	5	8	9	3	5	1	9
2	5	1	9	1	5	2	8
4	5	8	9	3	5	1	9
